"timestamp","log_ecoli_reduction","log_ecoli","total_cod_mgcod_per_gvss","total_pn_to_ps","lb_cod_mgcod_per_gvss","lb_proteins_mg_per_gvss","lb_carbs_mg_per_gvss","tb_cod_mgcod_per_gvss","tb_proteins_mg_per_gvss","tb_carbs_mgcarb_per_gvss","tb_pn_to_ps","ABXA_DO_mg_per_L","ABXA_NO5_mgN_per_L","ABXA_NH3_mg_N_per_L","ABXC_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_X_SLR_ppd_sf","ABX_INF_FLOW_MGD","ABXA_AIRFLOW_SCFM","NSEC_ASRT","ASRT_d","floc_SRT_d","granule_SRT_d","AGS_weighted_SRT_d","floc_percent","granule_percent","system","day_of_week","month"
2022-11-29,8.54448533370424,7.83597458172157,295,2.81,52.59,21.29,5.23,242.41,81.73,31.5,2.59,0.5755814383446,0.341824345914879,13.0994134941838,3.82516435161865,18.0345560090737,46.7434000968933,5.16679091312819,1444.70742927887,5.069929063,5.031122669,4.377599605,9.481610974,5.609223612,75.86948935,24.13051065,"2","Tue","Nov"
2022-12-06,8.69786322017172,8.3039999709552,309.4,3.39,30.62,15.48,2.72,278.82,97.4,30.55,3.19,0.731053791095319,1.09736722152734,14.8437426400799,1.12569950834386,17.8678607940674,46.6728796362877,5.6627776371936,1934.12777320036,4.218125343,4.499694287,3.74746401,8.156367311,5.11099363,69.07326999,30.92673001,"2","Tue","Dec"
2022-12-13,7.51024809127395,8.00636756765025,167.3,2.94,13.28,5.63,1.35,154.07,55.95,19.63,2.85,0.584354412063286,1.06687359243293,13.6390064411199,0.91190426781485,17.4540191348125,44.5366260210673,5.80990339997742,1677.43720646651,5.107089709,5.172085903,4.027678356,10.18978772,6.282333479,63.41098496,36.58901504,"2","Tue","Dec"
2023-01-03,1.538644860443,8.62335338724463,220.1,1.92,13.64,5.78,2.12,206.49,72.73,38.74,1.88,0.965571422676588,1.31488624224109,9.69965973130914,0.339041516481722,16.0012587653904,38.6979114214579,5.00883279509015,1622.49315005008,4.693127341,4.565908447,3.68002267,9.465051103,5.516448925,68.25553622,31.74446378,"2","Tue","Jan"
2023-01-24,5.49534507073169,10.0212705881925,495.8,3.22,92.22,22.61,6.7,403.55,125.85,39.36,3.2,1.12012745623508,0.398933688578653,11.3507490156704,1.21072010655689,15.4602674280605,35.5527430375417,4.60885069320599,1606.42979767453,4.444515355,5.710757555,4.253340837,15.89291366,8.30929976,65.15371324,34.84628676,"2","Tue","Jan"
2023-01-31,4.31672153626612,10.6805162170768,538.8,2.9,99.01,16.08,5.23,439.78,124.83,43.31,2.88,1.4249401038202,1.03607920185679,11.2506911787602,1.04348249228285,14.9516720362827,30.7528800964355,5.7900084655318,1413.57341499495,4.753262861,5.585323269,4.031475602,16.30849321,8.568529752,63.04432969,36.95567031,"2","Tue","Jan"
2023-02-07,7.93218527092107,8.1461295100254,488,2.71,80.76,14.32,4.56,407.2,115.62,43.39,2.66,1.14591339330314,1.06864421669926,9.1666245445355,0.22652299521456,15.112418569301,30.7528800964355,4.07050759618481,1416.85680918509,5.929012202,6.082019469,5.001477633,15.89507368,7.825423228,74.077012,25.922988,"2","Tue","Feb"
2023-02-14,7.82241867119692,8.21338173703457,468.1,3.32,110.1666667,23.66316667,6.686666667,357.9166667,113.1076667,34.45933333,3.28,1.16961713998031,0.934102503620165,9.30486558625854,0.517925260531645,15.1464207205507,30.7528800964355,4.20491539438566,1466.61066172252,6.205394365,6.676825341,4.956780774,21.62385937,10.52739254,66.57715545,33.42284455,"2","Tue","Feb"
2023-03-28,1.71479842809193,9.51044496442652,516.9,2.29,136.1538462,23.54,9.103333333,380.7692308,101.9407692,45.61282051,2.23,1.72113527655241,0.665401563553126,13.872995686766,2.73995457419563,15.3277147283709,30.7528800964355,6.20223832362228,1409.76662240439,5.387410901,5.017945827,3.585834922,21.63526207,9.760492003,65.7902878,34.2097122,"2","Tue","Mar"
2023-04-11,6.59971228388144,8.36637030168165,433.2,2.19,105.7142857,15.96461538,6.471208791,327.4725275,87.3778022,40.65604396,2.15,0.802320874825839,0.83063424873934,12.3347049247897,2.83238905375545,16.1645908261891,30.7528800964355,5.90043886767493,1324.07419393422,5.726545631,4.531352791,3.258167455,23.53468604,9.870766064,67.38789955,32.61210045,"2","Tue","Apr"
2022-11-29,6.91547732507605,9.46498259034976,268,2.88,28.56,11.17,3.7,239.42,88.76,30.95,2.87,10,0,0,2.16000008583069,18.0345560090737,19.8457546234131,0,375.209239149849,5.995271206,6.60989002,6.60989002,7.068590502,6.63965637,93.51072209,6.489277906,"9","Tue","Nov"
2022-12-06,7.24919852832537,9.75266466280154,277.2,3.48,22.14,10.28,2.43,255.1,101.26,29.59,3.42,9.49936338240444,0,0,2.16000008583069,17.8678607940674,19.8457546234131,0,374.749914169669,5.990705013,6.62478423,6.62478423,7.071619046,6.653018408,93.68129401,6.318705993,"9","Tue","Dec"
2022-12-13,6.13232197982458,9.38429367909962,180.7,3.1,13.4,5.19,1.84,167.28,64.17,20.56,3.12,10,0,0,2.16000008583069,17.4540191348125,19.8457546234131,0,382.807424809555,6.449737549,7.169716294,7.169716294,7.720261097,7.20897657,92.86883182,7.131168183,"9","Tue","Dec"
2023-01-03,-0.0489740045964595,10.2109722522841,30.8,1.24,15.4,5.5,2.48,15.4,62.91,52.89,1.19,10,0,0,2.16000008583069,16.0012587653904,19.8457546234131,0,374.589437953253,4.889582634,4.306232001,4.306232001,4.695713587,4.338537188,91.70559322,8.294406775,"9","Tue","Jan"
2023-01-31,5.90793570974376,9.08930204359913,342.2,2.59,80.67,13.61,5.49,261.57,76.85,29.45,2.61,1.38681661323362,0.00047943275991991,10.8434191309196,3.32562422455651,14.9516720362827,43.2720985412598,17.4117302639986,1279.8818465402,6.227141857,6.26576934,6.26576934,6.68432375,6.291978093,93.73826843,6.261731567,"9","Tue","Jan"
2023-02-14,6.41999492814714,9.61580548008435,396.5,3.54,84.03120936,20.79011704,5.949128739,312.4837451,109.0701691,30.72249675,3.55,0.958935220644774,0.00352130978707394,6.59700993858735,1.08251431088893,15.1464207205507,43.2720985412598,14.3509693794398,1131.92344094302,5.955348015,7.157485594,7.157485594,7.811385456,7.212224287,91.62888753,8.371112472,"9","Tue","Feb"
2023-02-28,7.421316882567,7.97933889526233,444.8,3.64,101.1702128,21.60914894,5.461489362,343.6170213,121.1214894,33.75361702,3.59,0.91099601640682,0.0318780376599707,5.74509679722273,0.791767113100842,14.2745543493786,43.2720985412598,13.7452147567747,756.504793594807,6.262470245,6.181916401,6.181916401,6.744843041,6.228898428,91.65396975,8.346030251,"9","Tue","Feb"
2023-02-28,7.421316882567,7.97933889526233,441.9,3.61,117.3134328,24.97679104,7.963880597,324.6268657,112.0569403,29.98902985,3.74,0.91099601640682,0.0318780376599707,5.74509679722273,0.791767113100842,14.2745543493786,43.2720985412598,13.7452147567747,756.504793594807,6.262470245,6.181916401,6.181916401,6.744843041,6.228898428,91.65396975,8.346030251,"9","Tue","Feb"
2023-03-28,2.6200393237795,8.60520406873895,443.9,2.4,104.0559441,16.5065035,8.14048951,339.8601399,90.83622378,36.4927972,2.49,2.47030764281109,0.00058814538273819,8.05123674624692,2.60702404435972,15.3277147283709,43.2720985412598,14.0169763565063,1253.60119134933,9.428341866,8.177122434,8.177122434,8.798129615,8.220955605,92.9416,7.058400003,"9","Tue","Mar"
2023-04-04,5.95572092791835,9.78695373628018,488.7,2.29,109.7368421,16.33781955,8.467894737,378.9473684,100.2505263,42.51338346,2.36,1.31959158689096,0.00047158388744209,6.6470003887842,1.46911193983555,15.4353837379192,43.2720985412598,14.0169763565063,933.743291184855,5.483862877,6.13651349,6.13651349,6.588920874,6.16757661,93.1338167,6.866183296,"9","Tue","Apr"
2023-04-11,6.05684730637083,8.90923527919226,437.7,2.31,88.37545126,15.10223827,7.639061372,349.2779783,91.98259928,38.70303249,2.38,0.799124562977193,0.00187736143780021,7.94388774475467,2.95978184580289,16.1645908261891,43.2720985412598,14.0169763565063,874.488135069131,5.624781609,4.897017851,4.897017851,5.319172194,4.930521991,92.06353305,7.936466949,"9","Tue","Apr"
2023-04-18,6.4080254694712,8.87766093359367,417.3,2.96,95.09433962,16.27358491,6.587735849,322.1698113,94.04490566,30.67867925,3.07,1.69927004174048,0.00762648768278313,6.05836149134173,0.418675595052556,10.1933271765646,43.2720985412598,14.0169763565063,1309.39290615782,6.246373653,4.45328663,4.45328663,4.917478281,4.497104594,90.5603721,9.439627896,"9","Tue","Apr"
2023-04-25,5.708158849256,10.0345158149425,345,2.63,70.92651757,14.2571885,5.322172524,274.1214058,89.85623003,34.27821086,2.62,1.33635347920751,0.00613744348373227,6.9624460996629,0.985652100795444,16.6056912177398,43.2720985412598,14.0169763565063,1251.55727930135,5.673823833,4.560507343,4.560507343,4.860283111,4.578997112,93.83213362,6.167866382,"9","Tue","Apr"
