"timestamp","AI-K530N","total_cod_mgcod_per_gvss","total_pn_to_ps","lb_cod_mgcod_per_gvss","lb_proteins_mg_per_gvss","lb_carbs_mg_per_gvss","tb_cod_mgcod_per_gvss","tb_proteins_mg_per_gvss","tb_carbs_mgcarb_per_gvss","tb_pn_to_ps","CLARIFIER_X_SLR","CLARIFIER_X_SOR","NABX_CPASS_TOTAL_COD","NABX_CPASS_TKNH","NABX_CPASS_TSS","NABX_CPASS_VSS","ABXA_DO","ABXB_DO","ABXC_DO","ABXA_NO5","ABXA_NH3","ABXC_NH3","ABXC_MLSS","ABX_INF_FLOW","ABX_MLR_FLOW","ABXA_AIRFLOW","ABXB_AIRFLOW","ABXC_AIRFLOW","SCX_BLANKET","NABX_CPASS_dSVI30","NABX_CPASS_dSVI5","NABX_CLARIFIER_EFFLUENT_TOTAL_COD","NABX_CLARIFIER_EFFLUENT_NH3","NABX_CLARIFIER_EFFLUENT_NO2","NABX_CLARIFIER_EFFLUENT_NO5","NABX_CLARIFIER_EFFLUENT_OP","NABX_CLARIFIER_EFFLUENT_PWS","NABX_CLARIFIER_EFFLUENT_PW","NABX_CLARIFIER_EFFLUENT_TKNH","NABX_CLARIFIER_EFFLUENT_TSS","NABX_CLARIFIER_EFFLUENT_VSS","NSEC ACTUAL ASRT (days)","Solids Wasted via Effluent (tpd)","Solids Wasted via SWAS (tpd)","Solids Wasted via WAS (tpd)","NSEC MIN ASRT (days)","Total Solids Wasted (tpd)","NSI Soluble COD (LAB) (mg/L)","NSI Total COD (LAB) (mg/L)","NSI E. coli (LAB) (EC/100mL)","NSI NH3A (LAB) (mg/L)","NSI NO2 (LAB) (mg/L)","NSI NO5 (LAB) (mg/L)","NSI OP (LAB) (mg/L)","NSI PWS (LAB) (mg/L)","NSI PW (LAB) (mg/L)","NSI TKNH (LAB) (mg/L)","NSI TSS (LAB) (mg/L)","NSI TVAH (LAB) (mg/L)","NSI VSS (LAB) (mg/L)","NSEC EFF TSS (mg/L)","NSI NH3 (mg N/L)","NSI TSS (mg/L)","NSI COD (mg/L)","NSI sCOD (mg/L)","NSI FLOW (MGD)","NSI TEMP (C)","NAB2_ASRT","ASRT_d","Floc_SRT_d","Granule_SRT_d","AGS_Weighted_SRT_d","Floc_percent","Granule_percent","system"
2022-06-01,10.4770745338183,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,31.55203364,1192.002002,6750,363,4190,3730,0.7432914414,0.8983929872,0.7048885624,0.1305213507,7.7976972,1.146703909,3180.664225,0.004483308807,15.99881844,945.3512164,1301.696681,1503.433874,6.130217154,117.833336,208.172226,69,0.61,0.34,5.67,0.01,0.06,0.93,2.9,31,27,4.86103487,3.508204091,42.54206456,0.00087621382,8.787815068,46.04965717,104,288,17300000,25,0.03,0,2.74,2.88,4.39,37,81,0,65,9.608543522,50.46581534,60.31751495,472.7063638,239.2931799,87.14320287,17.57684068,6.10775446,5.55159145,5.360479962,10.80625599,5.732481339,93.16899236,6.831007637,"2"
2022-05-20,13.6881939767789,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,28.12712689,1120.831053,4980,302,3450,2900,0.5647013117,0.935561232,0.8007670301,0.05882709391,9.177864482,1.126758947,3025.501377,0.004483308807,16.09433014,1082.025324,1485.414977,1687.392004,5.395747075,135.939362,264.326538,69,0.12,0.21,5.98,0.01,0.06,0.93,1.9,31,27,4.105080605,2.719180406,42.62431054,11.00052002,6.114138261,56.34327073,93,265,14100000,29.6,0,0.03,2.29,2.37,3.54,35.8,75,20,67,8.630476609,34.67100988,73.78941991,449.5197549,233.7907587,73.99470575,17.96853704,9.234883769,5.55159145,5.360479962,10.80625599,5.732481339,93.16899236,6.831007637,"2"
2023-05-31,17.8235989306509,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,23.04947027,775.1446552,3860,305,3500,2940,1.511919791,0.8438948577,0.555503832,0.4724129803,9.721437141,1.273196099,3573.780408,7.368755695e-05,16.05625433,1762.782561,1374.583521,1551.192536,2.8983872,137.725,236.1,40,0,0.1,4.76,0.05,0.11,0.5,4,15,14,10.09295559,2.805659877,15.95974344,0.00696182523,7.960825443,21.75657082,167,331,2480000,28,0,0.04,2.93,3.36,4.76,42.5,75,28,68,9.248509094,31.08838542,78.4710766,439.359207,231.0577733,72.79823416,17.92341832,5.568461077,5.55159145,5.360479962,10.80625599,5.732481339,93.16899236,6.831007637,"2"
2023-03-07,10.3313870912173,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,19.81747031,738.8063011,6510,297,3260,2780,1.587729363,1.654871793,1.44680087,1.499300536,9.380965008,0.6418431932,3219.131338,1.461064601,16.06888717,1583.536185,2407.343783,2483.892405,1.50217824,84.0493851,164.444443,54,7.55,0.52,4.94,0.03,0.12,0.54,9.9,17,14,17.50717926,2.277501204,11.819018,0.009617340309,5.584147159,14.11917953,212,432,3260000,31.9,0.02,0,3.05,3.07,4.65,45.3,82,61,73,9.185584243,37.66203237,105.1702335,473.6084656,309.7321104,59.89591531,14.89262247,5.072556525,4.080387416,3.02993832,15.40456723,6.995668058,67.95273807,32.04726193,"2"
2022-12-27,21.8916900837721,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,39.62283802,1221.90269,6920,411,4440,3650,0.9393533635,2.491434228,2.293005951,1.412540335,9.460501354,0.1871384221,3888.540664,1.461064601,16.08558008,1806.874674,3712.211809,3233.236909,2.611456765,80.0563354,141.051636,70,1.58,0.68,5.26,0.02,0.08,0.73,4.6,27,23,7.011218071,2.443933551,22.65047249,4.21488643e-05,509.5452576,25.09325999,203,426,19900000,29.8,0,0,1.91,2.94,4.6,43.7,116,60,101,10.75449267,30.840217,104.3551034,462.55377,274.1852241,54.97708663,16.20653385,5.59993171,5.221949194,3.893108465,11.88866791,6.918443554,62.16230885,37.83769115,"2"
2023-06-15,11.0932489251141,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,39.62283802,1221.90269,6920,411,4440,3650,0.9393533635,2.491434228,2.293005951,1.412540335,9.460501354,0.1871384221,3888.540664,1.461064601,16.08558008,1806.874674,3712.211809,3233.236909,2.611456765,80.0563354,141.051636,70,1.58,0.68,5.26,0.02,0.08,0.73,4.6,27,23,7.011218071,2.443933551,22.65047249,4.21488643e-05,509.5452576,25.09325999,203,426,19900000,29.8,0,0,1.91,2.94,4.6,43.7,116,60,101,10.75449267,30.840217,104.3551034,462.55377,274.1852241,54.97708663,16.20653385,5.59993171,5.221949194,3.893108465,11.88866791,6.918443554,62.16230885,37.83769115,"2"
2023-02-21,26.6522382692418,684.3,0.8,67.44,30.5,27.47,616.83,173.91,226.68,0.77,21.99173081,740.5620708,5570,293,3300,2780,1.400824985,2.067604929,1.413685415,1.448861859,11.10267001,0.4523580666,3565.180449,1.461064601,16.05877678,1417.221512,2577.505226,2285.148937,1.741552186,81.2932053,133.025238,49,2.1,0.45,5.19,0.03,0.12,0.52,3.9,18,16,10.53595734,2.1447977,12.42351047,3.737278628,9.244889259,23.5103264,220,451,3650000,29.9,0.02,0,2.97,3.35,5.26,49.6,104,71,94,9.482163799,29.93241757,159.2999977,440.9903533,318.4531941,54.94635191,15.15283904,5.368810204,5.882544085,4.433475767,14.87330743,8.097271275,64.90560744,35.09439256,"2"
2022-09-07,5.21921918826521,547.8,0.8,29.89,30.5,27.47,517.9,173.91,226.68,0.77,52.24821921,1306.950194,4640,377,4560,3780,0.4809479717,1.299881151,0.7643063163,0.01254267219,8.944226592,0.006898904245,4800.973989,0.004483308807,16.07262129,1350.864541,2655.838696,1290.588681,3.723314766,91.3230743,152.205124,33,0.14,1,4.45,0.06,0.09,0.4,2.5,14,12,5.509442329,1.455094136,36.32201578,0.04099673476,8.77411894,37.81328834,143,307,14100000,29.8,0.05,0,2.91,2.91,4.25,38,85,36,74,7.674581474,42.0082675,83.41380883,495.0209703,242.8356802,53.03647929,22.97259842,10.20135096,5.882544085,4.433475767,14.87330743,8.097271275,64.90560744,35.09439256,"2"
2022-07-21,13.2367535337424,547.8,0.8,29.89,30.5,27.47,517.9,173.91,226.68,0.77,41.50229474,1252.216077,6560,387,4400,3600,0.308550816,0.9737467331,0.6535799834,0.003344487636,9.537899382,1.112229367,3978.62627,0.004483308807,16.11370385,1126.952896,2162.924294,2271.089393,3.166724352,75.89831,110.052544,24,0,0.03,6.15,0.08,0.12,0.38,1.6,9,10,5.750221252,2.304359627,47.05461969,0,8.379439952,49.35729113,137,318,3610000,31,0.04,0,3.37,3.45,4.95,40.3,82,0,73,7.067639746,36.66567807,83.89549418,459.9112285,240.9631184,77.81971844,21.70040353,6.299712706,5.882544085,4.433475767,14.87330743,8.097271275,64.90560744,35.09439256,"2"
2022-05-16,13.2367535337424,547.8,0.8,29.89,30.5,27.47,517.9,173.91,226.68,0.77,27.53865316,1113.494223,5550,304,3670,3070,0.4014584114,1.015143981,1.061655828,0.3420502455,8.821348244,0.7790263654,2979.356439,0.004483308807,16.1155647,848.1519885,1741.815221,2074.102213,5.040379487,132.570435,233.94783,58,0.82,0.39,5.37,0.03,0.07,0.57,2.6,14,15,4.35757637,2.357397464,42.62468318,10.93967392,6.406397502,55.91998308,202,324,4350000,31.3,0.03,0.02,3.65,3.6,5.21,40.6,81,0,68,7.676157559,35.73932439,71.86919423,402.5658818,214.4971509,73.28280611,18.12590834,7.552286773,5.882544085,4.433475767,14.87330743,8.097271275,64.90560744,35.09439256,"2"
