"timestamp","log_control_reduction","log_control_ecoli","control_total_cod_mgcod_per_gvss","control_total_pn_to_ps","control_lb_cod_mgcod_per_gvss","control_lb_proteins_mg_per_gvss","control_lb_carbs_mg_per_gvss","control_tb_cod_mgcod_per_gvss","control_tb_proteins_mg_per_gvss","control_tb_carbs_mgcarb_per_gvss","control_tb_pn_to_ps","AB9A_DO_mg_per_L","AB9A_NO5_mgN_per_L","AB9A_NH3_mg_N_per_L","AB9C_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_9_SLR_ppd_sf","AB9_INF_FLOW_MGD","AB9A_AIRFLOW_SCFM","Control_NSEC_ASRT","Control_ASRT_d","Control_Floc_SRT_d","Control_Granule_SRT_d","Control_AGS_Weighted_SRT_d","Control_Floc_percent","Control_Granule_percent"
2022-11-29,6.91547732507605,9.46498259034976,268,2.88,28.56,11.17,3.7,239.42,88.76,30.95,2.87,10,0,0,2.16000008583069,18.0345560090737,19.8457546234131,0,375.209239149849,5.995271206,6.60989002,6.60989002,7.068590502,6.63965637,93.51072209,6.489277906
2022-12-06,7.24919852832537,9.75266466280154,277.2,3.48,22.14,10.28,2.43,255.1,101.26,29.59,3.42,9.49936338240444,0,0,2.16000008583069,17.8678607940674,19.8457546234131,0,374.749914169669,5.990705013,6.62478423,6.62478423,7.071619046,6.653018408,93.68129401,6.318705993
2022-12-13,6.13232197982458,9.38429367909962,180.7,3.1,13.4,5.19,1.84,167.28,64.17,20.56,3.12,10,0,0,2.16000008583069,17.4540191348125,19.8457546234131,0,382.807424809555,6.449737549,7.169716294,7.169716294,7.720261097,7.20897657,92.86883182,7.131168183
2023-01-03,-0.0489740045964595,10.2109722522841,30.8,1.24,15.4,5.5,2.48,15.4,62.91,52.89,1.19,10,0,0,2.16000008583069,16.0012587653904,19.8457546234131,0,374.589437953253,4.889582634,4.306232001,4.306232001,4.695713587,4.338537188,91.70559322,8.294406775
2023-01-31,5.90793570974376,9.08930204359913,342.2,2.59,80.67,13.61,5.49,261.57,76.85,29.45,2.61,1.38681661323362,0.00047943275991991,10.8434191309196,3.32562422455651,14.9516720362827,43.2720985412598,17.4117302639986,1279.8818465402,6.227141857,6.26576934,6.26576934,6.68432375,6.291978093,93.73826843,6.261731567
2023-02-14,6.41999492814714,9.61580548008435,396.5,3.54,84.03120936,20.79011704,5.949128739,312.4837451,109.0701691,30.72249675,3.55,0.958935220644774,0.00352130978707394,6.59700993858735,1.08251431088893,15.1464207205507,43.2720985412598,14.3509693794398,1131.92344094302,5.955348015,7.157485594,7.157485594,7.811385456,7.212224287,91.62888753,8.371112472
2023-02-28,7.421316882567,7.97933889526233,444.8,3.64,101.1702128,21.60914894,5.461489362,343.6170213,121.1214894,33.75361702,3.59,0.91099601640682,0.0318780376599707,5.74509679722273,0.791767113100842,14.2745543493786,43.2720985412598,13.7452147567747,756.504793594807,6.262470245,6.181916401,6.181916401,6.744843041,6.228898428,91.65396975,8.346030251
2023-02-28,7.421316882567,7.97933889526233,441.9,3.61,117.3134328,24.97679104,7.963880597,324.6268657,112.0569403,29.98902985,3.74,0.91099601640682,0.0318780376599707,5.74509679722273,0.791767113100842,14.2745543493786,43.2720985412598,13.7452147567747,756.504793594807,6.262470245,6.181916401,6.181916401,6.744843041,6.228898428,91.65396975,8.346030251
2023-03-28,2.6200393237795,8.60520406873895,443.9,2.4,104.0559441,16.5065035,8.14048951,339.8601399,90.83622378,36.4927972,2.49,2.47030764281109,0.00058814538273819,8.05123674624692,2.60702404435972,15.3277147283709,43.2720985412598,14.0169763565063,1253.60119134933,9.428341866,8.177122434,8.177122434,8.798129615,8.220955605,92.9416,7.058400003
2023-04-04,5.95572092791835,9.78695373628018,488.7,2.29,109.7368421,16.33781955,8.467894737,378.9473684,100.2505263,42.51338346,2.36,1.31959158689096,0.00047158388744209,6.6470003887842,1.46911193983555,15.4353837379192,43.2720985412598,14.0169763565063,933.743291184855,5.483862877,6.13651349,6.13651349,6.588920874,6.16757661,93.1338167,6.866183296
2023-04-11,6.05684730637083,8.90923527919226,437.7,2.31,88.37545126,15.10223827,7.639061372,349.2779783,91.98259928,38.70303249,2.38,0.799124562977193,0.00187736143780021,7.94388774475467,2.95978184580289,16.1645908261891,43.2720985412598,14.0169763565063,874.488135069131,5.624781609,4.897017851,4.897017851,5.319172194,4.930521991,92.06353305,7.936466949
2023-04-18,6.4080254694712,8.87766093359367,417.3,2.96,95.09433962,16.27358491,6.587735849,322.1698113,94.04490566,30.67867925,3.07,1.69927004174048,0.00762648768278313,6.05836149134173,0.418675595052556,10.1933271765646,43.2720985412598,14.0169763565063,1309.39290615782,6.246373653,4.45328663,4.45328663,4.917478281,4.497104594,90.5603721,9.439627896
2023-04-25,5.708158849256,10.0345158149425,345,2.63,70.92651757,14.2571885,5.322172524,274.1214058,89.85623003,34.27821086,2.62,1.33635347920751,0.00613744348373227,6.9624460996629,0.985652100795444,16.6056912177398,43.2720985412598,14.0169763565063,1251.55727930135,5.673823833,4.560507343,4.560507343,4.860283111,4.578997112,93.83213362,6.167866382
